age,gender,income,purchase_frequency,purchase_amount,product_category,satisfaction_score,Cluster
27,Male,40682,0,18249,Books,6,0
29,Male,15317,2,4557,Clothing,6,2
37,Male,38849,2,11822,Clothing,6,0
30,Male,11568,0,4098,Food,7,2
31,Female,46952,1,19685,Clothing,5,0
38,Male,7347,1,2822,Electronics,5,2
32,Female,8265,0,3293,Clothing,7,2
24,Female,47773,2,21794,Books,5,0
27,Male,19154,1,5819,Clothing,5,1
28,Female,24666,2,8779,Food,6,1
35,Male,43896,2,16158,Home,6,0
32,Female,40044,2,13608,Electronics,5,0
32,Male,6735,1,2450,Clothing,5,2
30,Female,19034,1,5579,Books,5,1
28,Male,35748,2,12901,Books,3,3
38,Female,26282,2,9644,Clothing,7,1
32,Male,49088,2,21329,Clothing,5,0
21,Female,20163,2,7612,Food,3,1
33,Female,10660,2,3129,Clothing,6,2
28,Male,40725,2,12764,Electronics,6,0
25,Female,46173,1,17638,Beauty,5,0
29,Male,37894,1,12838,Clothing,5,3
25,Female,8936,2,3264,Food,5,2
27,Female,36226,0,12633,Electronics,4,3
27,Male,40646,2,11869,Food,5,0
22,Female,7915,0,2188,Electronics,6,2
34,Male,39287,1,11944,Food,6,0
31,Female,42196,1,12137,Clothing,6,0
25,Female,38932,0,15844,Electronics,5,0
36,Male,42955,0,15289,Electronics,4,0
32,Female,6952,1,2080,Food,6,2
29,Male,26915,2,11833,Clothing,4,1
34,Male,9545,1,4155,Beauty,5,2
34,Female,13128,2,4475,Clothing,6,2
34,Male,13820,2,5888,Electronics,6,2
33,Male,43701,2,14083,Electronics,5,0
32,Male,41024,0,16783,Electronics,6,0
30,Male,42930,2,17967,Health,5,0
29,Female,25750,2,9505,Home,4,1
28,Female,46720,2,17595,Electronics,6,0
27,Male,41298,2,12690,Electronics,5,0
29,Female,5513,1,1693,Electronics,5,2
24,Male,13482,2,4842,Clothing,5,2
40,Male,14522,2,5347,Food,3,2
35,Female,24758,0,11293,Books,6,1
25,Male,45527,0,16596,Clothing,6,0
28,Male,6755,1,2394,Electronics,6,2
28,Male,45358,1,16856,Clothing,6,0
33,Female,12972,2,5197,Food,5,2
30,Male,31837,1,12967,Electronics,6,3
31,Female,29373,0,12114,Electronics,5,3
30,Male,28752,2,8649,Clothing,4,3
30,Male,8328,2,3079,Health,5,2
36,Female,22078,1,7587,Food,6,1
29,Female,15865,1,6884,Clothing,4,2
37,Female,6818,1,1987,Electronics,7,2
23,Male,44939,1,18416,Electronics,5,0
33,Male,47716,1,20515,Electronics,2,0
31,Female,10315,0,3895,Food,3,2
31,Female,13873,2,5046,Electronics,6,2
32,Male,8679,2,2908,Electronics,4,2
28,Female,23397,1,8066,Books,3,1
29,Female,34677,1,13341,Books,6,3
25,Female,19249,2,6020,Home,5,1
25,Female,7346,2,2301,Food,5,2
31,Female,9888,1,3708,Electronics,4,2
32,Female,33549,1,12038,Clothing,6,3
30,Male,22871,1,8146,Clothing,6,1
34,Male,43035,0,13002,Books,5,0
39,Female,17226,1,6617,Books,4,1
28,Male,40025,1,8973,Food,4,0
20,Female,49144,2,20296,Health,3,0
34,Female,17948,0,5486,Electronics,6,1
27,Male,30376,2,10110,Electronics,5,3
27,Male,31926,1,11083,Electronics,5,3
35,Female,8133,2,2939,Electronics,5,2
29,Male,12930,0,4059,Electronics,3,2
25,Female,13114,2,2916,Clothing,5,2
31,Female,29452,2,9814,Home,5,3
29,Female,32324,1,9535,Food,4,3
30,Female,24706,2,9536,Home,3,1
32,Male,5778,2,2236,Health,5,2
28,Female,12977,2,3542,Electronics,5,2
33,Female,43758,1,18843,Clothing,5,0
29,Female,49741,1,12915,Clothing,5,0
31,Male,6994,2,2101,Clothing,7,2
35,Female,14104,2,5398,Electronics,5,2
32,Male,32621,1,9408,Health,4,3
29,Female,40520,2,13186,Clothing,3,0
35,Male,40735,0,11223,Electronics,3,0
34,Female,19281,2,6960,Food,7,1
32,Male,40219,2,11462,Clothing,6,0
31,Female,18963,2,6759,Electronics,6,1
27,Female,25836,2,9433,Electronics,6,1
36,Female,6161,1,2115,Electronics,6,2
27,Female,9697,0,2441,Electronics,6,2
40,Male,35606,2,10354,Food,6,3
37,Male,6856,1,2387,Clothing,6,2
29,Male,5135,2,1676,Clothing,4,2
25,Male,6158,2,1728,Clothing,6,2
27,Male,29170,1,10705,Books,7,3
31,Male,34887,1,15266,Clothing,4,3
29,Female,14391,2,5272,Clothing,6,2
28,Male,5048,2,1568,Electronics,4,2
26,Male,27404,1,10044,Health,5,1
30,Male,6752,1,1984,Health,4,2
26,Female,7829,1,3001,Books,5,2
23,Male,38461,2,11216,Food,3,3
28,Male,27443,1,9438,Books,6,1
34,Male,46718,2,15534,Books,5,0
27,Male,47622,0,18507,Health,4,0
33,Male,21874,2,8568,Books,5,1
23,Male,30137,2,9744,Books,5,3
30,Female,14535,2,4762,Electronics,5,2
32,Female,9883,1,4289,Books,6,2
31,Female,49578,2,19903,Electronics,5,0
30,Female,25071,1,9083,Electronics,5,1
27,Female,22192,0,10879,Electronics,5,1
26,Male,13379,2,4327,Books,4,2
25,Female,18915,2,8860,Books,6,1
31,Female,29125,0,10755,Health,5,3
26,Male,21349,0,6518,Clothing,5,1
28,Female,36299,0,10395,Health,5,3
29,Female,6872,1,1888,Books,4,2
38,Female,46609,0,20447,Electronics,5,0
27,Female,25134,1,7882,Clothing,4,1
31,Male,43862,2,17394,Clothing,7,0
30,Male,31711,0,13669,Home,6,3
26,Female,13509,2,3227,Clothing,4,2
30,Male,28429,1,9690,Books,7,3
36,Male,17591,2,7785,Electronics,6,1
32,Female,37908,2,11395,Health,5,3
30,Female,31044,2,10343,Food,5,3
28,Male,38758,2,13781,Electronics,4,3
21,Male,38467,0,11408,Electronics,4,3
35,Male,22988,1,9936,Books,6,1
23,Male,26627,0,9547,Books,4,1
33,Female,31265,2,10766,Beauty,4,3
39,Female,47194,2,17373,Beauty,6,0
24,Female,42676,1,15874,Clothing,6,0
33,Male,17214,1,6098,Electronics,5,1
29,Female,42627,2,13441,Clothing,6,0
23,Male,44764,2,18931,Books,4,0
23,Female,33907,0,13086,Health,5,3
23,Female,32419,2,11515,Electronics,4,3
28,Male,39265,2,13114,Food,4,0
23,Male,48577,1,19674,Food,7,0
33,Female,32069,1,12844,Electronics,5,3
39,Female,16736,0,6937,Electronics,5,1
24,Male,8854,0,3085,Electronics,4,2
34,Female,26603,0,10573,Clothing,5,1
33,Male,26110,1,9307,Clothing,6,1
31,Male,11871,0,3330,Health,5,2
25,Male,41283,0,14639,Electronics,4,0
29,Male,31916,2,10921,Electronics,6,3
29,Male,10545,2,3966,Electronics,4,2
33,Male,34940,2,11283,Clothing,7,3
28,Male,43623,2,16513,Home,5,0
34,Female,28363,1,12462,Home,7,3
28,Female,9764,2,4345,Electronics,5,2
35,Female,42574,0,11767,Health,3,0
25,Male,26516,2,7435,Books,2,1
24,Female,19371,1,6986,Health,4,1
44,Female,46160,1,18143,Books,4,0
28,Female,9172,2,2659,Electronics,6,2
31,Male,14199,1,4785,Food,5,2
33,Female,41493,2,13142,Beauty,6,0
28,Male,44178,1,16278,Food,6,0
32,Male,41456,1,12272,Books,4,0
32,Male,20873,2,5900,Clothing,5,1
29,Female,41943,2,13751,Clothing,5,0
30,Male,33403,1,14141,Books,4,3
30,Male,39944,2,15514,Electronics,4,0
40,Male,12925,0,3995,Electronics,6,2
27,Female,48053,0,12657,Electronics,4,0
25,Male,7156,2,2110,Health,4,2
30,Female,48189,1,19672,Electronics,4,0
31,Female,44034,1,12097,Clothing,6,0
32,Female,17877,2,7104,Clothing,5,1
28,Male,37512,2,13374,Food,5,3
25,Male,25088,1,9764,Clothing,3,1
36,Female,48792,2,18203,Electronics,6,0
28,Male,9552,2,3110,Clothing,5,2
26,Female,25282,2,6691,Electronics,6,1
29,Female,28678,2,10566,Electronics,4,3
29,Male,25024,2,8423,Books,3,1
35,Male,9157,1,3337,Food,5,2
30,Female,34416,2,10313,Health,6,3
33,Female,29355,2,10525,Books,5,3
28,Male,32818,1,10428,Clothing,5,3
31,Female,26201,1,8916,Clothing,4,1
29,Male,24322,2,7561,Electronics,4,1
30,Female,10651,2,2841,Electronics,3,2
26,Male,11708,1,3073,Books,5,2
24,Male,30470,0,11964,Electronics,6,3
39,Female,40055,2,17092,Books,3,0
33,Female,16139,2,6493,Books,4,2
24,Female,11170,2,4259,Clothing,3,2
27,Female,29872,2,11418,Electronics,4,3
25,Female,37258,2,15823,Clothing,4,3
40,Female,25670,2,11286,Beauty,4,1
36,Female,19908,1,8343,Electronics,6,1
29,Female,12931,1,4654,Beauty,4,2
32,Male,22524,1,8609,Books,6,1
28,Male,10825,2,3600,Clothing,5,2
28,Female,44816,2,18073,Clothing,5,0
26,Male,6076,0,2311,Clothing,4,2
27,Male,37784,2,16081,Books,6,3
37,Female,34504,2,12032,Electronics,7,3
30,Male,31899,1,9450,Clothing,5,3
31,Female,29747,1,12160,Electronics,2,3
31,Female,47360,2,13738,Books,6,0
36,Female,10204,0,3178,Food,5,2
28,Female,25061,2,8439,Food,3,1
26,Female,38394,1,11142,Clothing,3,3
37,Female,23829,1,8019,Electronics,5,1
28,Male,48586,1,16810,Electronics,5,0
27,Female,22675,1,7789,Books,5,1
24,Female,46062,2,18283,Electronics,5,0
24,Male,32402,1,11514,Clothing,4,3
27,Male,40775,1,15517,Food,5,0
33,Female,28231,2,8315,Clothing,4,3
35,Male,17811,2,5726,Electronics,5,1
33,Female,46503,2,15433,Health,4,0
28,Male,19546,0,8674,Books,6,1
30,Male,29669,1,8043,Books,7,3
27,Male,30931,1,11448,Clothing,7,3
27,Male,38353,0,12238,Clothing,6,3
34,Male,32273,1,12552,Books,4,3
25,Male,36185,0,13074,Electronics,5,3
39,Female,43215,2,15588,Health,5,0
30,Female,40741,0,10836,Food,3,0
31,Female,49609,1,20051,Electronics,5,0
27,Female,8349,2,2167,Electronics,6,2
27,Female,30281,2,10599,Books,5,3
24,Female,10103,2,2749,Food,3,2
29,Male,43970,2,14540,Electronics,4,0
32,Female,19535,2,6048,Electronics,5,1
31,Male,27264,2,8536,Clothing,5,1
27,Male,6765,2,2668,Food,4,2
26,Male,11387,2,3473,Electronics,6,2
28,Female,21174,2,6930,Food,5,1
37,Male,24253,1,12194,Health,4,1
25,Female,24190,1,9663,Electronics,6,1
29,Male,18220,2,6657,Health,6,1
39,Female,40676,2,13107,Beauty,5,0
30,Male,13717,2,5133,Electronics,6,2
24,Male,18666,1,6429,Clothing,6,1
27,Male,21257,2,8260,Electronics,6,1
32,Male,10956,2,4354,Electronics,3,2
